Sample size: 2500, Coin diameter: 20
Thickness, heads, tails, sides, z value
7.071068, 1074, 1081, 345, 20.71823
7.081068, 1021, 1138, 341, 20.88793
7.091068, 1072, 1096, 332, 21.26977
7.101068, 1062, 1088, 350, 20.5061
7.111069, 999, 1115, 386, 18.97874
7.121069, 1038, 1102, 360, 20.08183
7.131069, 1040, 1106, 354, 20.33639
7.141069, 1032, 1094, 374, 19.48786
7.15107, 1011, 1088, 401, 18.34235
7.16107, 1059, 1065, 376, 19.40301
7.17107, 1095, 1053, 352, 20.42124
7.18107, 1070, 1048, 382, 19.14845
7.191071, 1043, 1063, 394, 18.63933
7.201071, 1110, 1029, 361, 20.0394
7.211071, 1062, 1081, 357, 20.20911
7.221071, 1076, 1079, 345, 20.71823
7.231071, 1014, 1111, 375, 19.44543
......Simulation Terminated by user......
